molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
0,0,active,0
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
1,1,active,1
