,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
242,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,inactive,314.86,4.528400000000004,0.0,2.0,4.943095148663527
244,CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,inactive,280.415,3.8750000000000027,0.0,2.0,4.863279432843593
245,CHEMBL91704,CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,574.7470000000001,3.659900000000002,2.0,5.0,9.443697499232712
246,CHEMBL5190923,CCN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,588.7740000000001,4.0500000000000025,2.0,5.0,10.397940008672037
247,CHEMBL5185113,CC(C)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,602.8010000000002,4.438500000000003,2.0,5.0,10.397940008672037
248,CHEMBL5181012,CCCN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,602.8010000000002,4.440100000000003,2.0,5.0,10.397940008672037
249,CHEMBL5198546,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)N1CCN(c2ccccc2)CC1,active,636.818,5.234700000000005,2.0,5.0,10.397940008672037
250,CHEMBL4743491,COCCN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,618.8000000000001,3.6765000000000025,2.0,6.0,10.397940008672037
251,CHEMBL4755358,CC(C)(C)N1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,active,616.8280000000002,4.828600000000004,2.0,5.0,10.397940008672037
252,CHEMBL4297643,Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(OCCc3ccccn3)n2)c1,active,418.50100000000015,3.0841200000000013,1.0,8.0,8.0
253,CHEMBL263634,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)OCC(=O)N1CCCc2ccccc21,inactive,535.6010000000003,3.3405000000000014,4.0,6.0,3.714442690992226
254,CHEMBL5290974,COC(=O)[C@H]1C[C@H](OCCN)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)C[C@@H]1C(=O)OC,inactive,437.4420000000001,-3.1123999999999947,5.0,12.0,3.207608310501746
255,CHEMBL5290974,COC(=O)[C@H]1C[C@H](OCCN)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)C[C@@H]1C(=O)OC,active,437.4420000000001,-3.1123999999999947,5.0,12.0,7.221848749616356
256,CHEMBL3121700,[N-]=[N+]=NCCO[C@H]1C[C@H](C(=O)NCc2ccc(CO)cc2)[C@@H](C(=O)NCc2ccc(CO)cc2)C[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,active,673.7200000000005,-0.48939999999999784,8.0,12.0,7.221848749616356
257,CHEMBL5275329,CCN(CC)Cc1cc(Nc2ccnc3cc(I)ccc23)ccc1O,active,447.3200000000001,5.130400000000004,2.0,4.0,6.1938200260161125
258,CHEMBL5287023,CCN(CC)Cc1cc(Nc2c(Oc3ccccc3)cnc3cc(Cl)ccc23)ccc1O,active,447.9660000000002,6.971500000000005,2.0,5.0,6.136677139879544
259,CHEMBL5281963,CCCCCCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,active,383.9230000000001,6.007300000000005,3.0,4.0,6.5376020021010435
260,CHEMBL528236,CCCCN(CCCC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,active,411.97700000000015,6.7396000000000065,2.0,4.0,6.142667503568732
261,CHEMBL5281554,CCCCCCCCN(C)Cc1cc(Nc2ccnc3cc(I)ccc23)ccc1O,active,517.4550000000002,7.080900000000007,2.0,4.0,6.585026652029182
262,CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,active,405.969,6.215000000000006,0.0,2.0,7.154901959985743
263,CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,active,371.524,5.9961000000000055,0.0,2.0,7.0
264,CHEMBL28211,COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1,active,425.5720000000003,6.075100000000007,0.0,3.0,7.0
267,CHEMBL392916,CCC(=C(c1ccc(OCCN2CCCC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,510.72200000000026,7.004900000000008,0.0,4.0,7.698970004336019
270,CHEMBL4741938,COc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccccc3)sc2c1,active,459.61100000000016,7.233900000000006,0.0,5.0,6.585026652029182
271,CHEMBL226269,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(F)cc3)sc2c1,active,463.5740000000001,7.070000000000005,1.0,5.0,6.008773924307505
272,CHEMBL226329,Nc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,active,460.5990000000004,6.513100000000005,2.0,6.0,6.886056647693163
273,CHEMBL226327,Oc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccccc3)sc2c1,active,445.5840000000001,6.930900000000005,1.0,5.0,6.522878745280337
274,CHEMBL4797649,COc1ccc(-c2sc3cc(OC)ccc3c2Oc2ccc(OCCN3CCC(CCNC(=O)CCCCNC(=O)OC(C)(C)C)CC3)cc2)cc1,active,731.9560000000001,8.669900000000005,2.0,9.0,6.096910013008056
276,CHEMBL4746824,COc1ccc2c(Oc3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(Br)cc3)sc2c1,active,538.5070000000001,7.996400000000006,0.0,5.0,6.200659450546418
279,CHEMBL4297509,CCNCCc1ccc(CN(CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1,active,458.6460000000002,5.851800000000007,2.0,4.0,6.619788758288394
282,CHEMBL4745844,CC/C(=C(/c1ccc(N)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,412.57700000000017,6.112500000000005,1.0,3.0,6.886056647693163
283,CHEMBL4743737,CC/C(=C(/c1ccc(NCCN2CCCC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,509.7380000000003,7.038000000000008,1.0,4.0,6.481486060122113
284,CHEMBL4795040,CC/C(=C(/c1ccc(NCCN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1,active,541.7360000000003,5.510800000000006,1.0,6.0,6.638272163982407
285,CHEMBL4754810,CC/C(=C(/c1ccc(NC(=O)C2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,537.7480000000004,6.810600000000008,1.0,4.0,8.0
286,CHEMBL4757636,CC/C(=C(/c1ccc(NC(=O)N2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,538.7360000000003,6.309600000000008,1.0,4.0,7.522878745280337
287,CHEMBL4782391,CC/C(=C(/c1ccc(NC(=O)C2CCN(C)C2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,523.7210000000003,6.420500000000007,1.0,4.0,7.698970004336019
288,CHEMBL4796723,CC/C(=C(/c1ccc(NC(=O)C2CCN(C3CCN(C)CC3)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,620.8820000000004,7.275000000000009,1.0,5.0,6.7447274948966935
289,CHEMBL4761341,CC/C(=C(/c1ccc(NC(=O)CN2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,552.7630000000004,5.716200000000007,1.0,5.0,8.0
290,CHEMBL4751531,CC/C(=C(/c1ccc(NC(=O)CC2CCN(C)CC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,551.7750000000004,7.200700000000008,1.0,4.0,8.221848749616356
291,CHEMBL4742939,CC/C(=C(/c1ccc(NC(=O)CN2CCOCC2)cc1)c1ccc(OCCN2CCCC2)cc1)c1ccccc1,active,539.7200000000004,5.801000000000006,1.0,5.0,6.455931955649724
292,CHEMBL4760524,CC/C(=C(/c1ccc(NC(=O)CN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1,active,555.7190000000004,5.037400000000005,1.0,6.0,6.130768280269024
293,CHEMBL4278533,CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(=O)CCN1CCCCC1)C2,inactive,293.451,3.6204000000000027,0.0,3.0,4.323306390375134
295,CHEMBL4288786,CC1CCN(CCC(=O)O[C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)CC1,inactive,307.47800000000007,3.866400000000003,0.0,3.0,4.265200170411153
296,CHEMBL4792802,CC1CCN(CCC(=O)O[C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)CC1.Cl,inactive,343.939,4.288200000000004,0.0,3.0,4.189095719331299
297,CHEMBL221722,NC(=O)c1nc(F)cnc1O,inactive,157.10399999999998,-0.5798000000000002,2.0,4.0,4.173925197299174
299,CHEMBL5193528,CCOc1ccc(NC(=O)CSc2nnc(COc3cccc(N(C)C)c3)n2-c2ccccc2)cc1,inactive,503.62800000000016,5.041800000000005,1.0,8.0,5.0
